date,reason,detail
2026-01-21,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-01-22,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-01-23,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-01-26,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-01-27,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-01-28,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-01-29,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-01-30,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-02,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
2026-02-03,data_quality_not_ready,"['核心 ETF 缺少新鲜真实数据：510300, 510500, 159915, 518880, 511010, 511990, 513100。', '当前新鲜真实数据覆盖率只有 0.0%，低于正式决策门槛 85.0%。', '当前回退/模拟数据占比 100.0%，高于允许上限 15.0%。']"
